Code	Municipio	Depto	Censo electoral	Participación/Total votos	Abstención	Ganador	Votos válidos (departamental)	100% Colombia	AICO	ASI	Alianza Verde	Blanco por la Paz	Cambio Radical	Centro Democrático	MIRA	Movimiento de Integración Regional	Partido Conservador	Partido de la U	Partido Liberal	Polo Democrático Alternativo	Por un Huila Mejor	Opción Ciudadana	Unión Patriótica	Voto en blanco (departamental)	Ganador	Votos válidos (Indígenas)	AICO	AIMAC	Embera Chami - Dache Agora Drua	MAIS	Movimiento CS	MUIPC	OPIC	Renovación Étnica "Raíces"	Vía Nueva	Voto en blanco (Indígenas)	Ganador	Votos válidos (Afros)	Afrocolombianos en Acción	Afroétnicos	AFRODMAM	AFROMINGA	AFROVIDES	ASOCONEGUA	ASODEPORTES	ASOPRA	C.C. San Antonio y EL Castillo	CORMANDELA	CORPOSINPAC	E.A.T. Botica Comunitaria 	ESAFRO	F. Desarrollo Cuenca del Pacífico	FORFUTURO	FUNCULCOSTA	FUNDAIN	FUNDECH	FUNDIAFRO	FUNECO	FUNPROESAT	Los Palenkes Bellavista	MACOAS	MIO	Poder Ciudadano	SI SE PUEDE	OECA	Únete	Vides y sus Niches	Voto en blanco (Afros)	Votos válidos (todas las circunscripciones)	Votos inválidos	Votos Nulos	Tarjetones No Marcados	%Participación	%Abstención	%Votos válidos (departamental)	%100% Colombia	%AICO	%ASI	%Alianza Verde	%Blanco por la Paz	%Cambio Radical	%Centro Democrático	%MIRA	%Movimiento de Integración Regional	%Partido Conservador	%Partido de la U	%Partido Liberal	%Polo Democrático Alternativo	%Por un Huila Mejor	%Opción Ciudadana	%Unión Patriótica	%Voto en blanco (departamental)	%Votos válidos (Indígenas)	%AICO	%AIMAC	%Embera Chami - Dache Agora Drua	%MAIS	%Movimiento CS	%MUIPC	%OPIC	%Renovación Étnica "Raíces"	%Vía Nueva	%Voto en blanco (Indígenas)	%Votos válidos (Afros)	%Afrocolombianos en Acción	%Afroétnicos	%AFRODMAM	%AFROMINGA	%AFROVIDES	%ASOCONEGUA	%ASODEPORTES	%ASOPRA	%C.C. San Antonio y EL Castillo	%CORMANDELA	%CORPOSINPAC	%E.A.T. Botica Comunitaria 	%ESAFRO	%F. Desarrollo Cuenca del Pacífico	%FORFUTURO	%FUNCULCOSTA	%FUNDAIN	%FUNDECH	%FUNDIAFRO	%FUNECO	%FUNPROESAT	%Los Palenkes Bellavista	%MACOAS	%MIO	%Poder Ciudadano	%SI SE PUEDE	%OECA	%Únete	%Vides y sus Niches	%Voto en blanco (Afros)	%Votos válidos (todas las circunscripciones)	%Votos inválidos	%Votos Nulos	%Tarjetones No Marcados
17042	Anserma	Caldas	27225	14361	12864	Centro Democrático	12021				97			3235	955		2432	2136	2237	349				580	MUIPC	84	8	2		14	1	36	3	1	1	18	Voto en blanco	114		2	1	1	4	8	1	1		3	4	4	5	1	3		4	2	1	2	1	4	1	5	2	3	2	1		48	12219	2142	1357	785	52.75	47.25	83.71	0	0	0	0.81	0	0	26.91	7.94	0	20.23	17.77	18.61	2.9	0	0	0	4.82	0.58	9.52	2.38	0	16.67	1.19	42.86	3.57	1.19	1.19	21.43	0.79	0	1.75	0.88	0.88	3.51	7.02	0.88	0.88	0	2.63	3.51	3.51	4.39	0.88	2.63	0	3.51	1.75	0.88	1.75	0.88	3.51	0.88	4.39	1.75	2.63	1.75	0.88	0	42.11	85.08	14.92	9.45	5.47
17050	Aranzazu	Caldas	11382	5527	5855	Partido Conservador	4585				61			618	118		2173	1237	94	126				158	Voto en blanco	16		1			2	2			2	9	Voto en blanco	40		1	1	2	1			2	1	1			1		1	2		1	1	1					5	1	1			17	4641	886	557	329	48.56	51.44	82.96	0	0	0	1.33	0	0	13.48	2.57	0	47.39	26.98	2.05	2.75	0	0	0	3.45	0.29	0	6.25	0	0	12.5	12.5	0	0	12.5	56.25	0.72	0	2.5	2.5	5	2.5	0	0	5	2.5	2.5	0	0	2.5	0	2.5	5	0	2.5	2.5	2.5	0	0	0	0	12.5	2.5	2.5	0	0	42.5	83.97	16.03	10.08	5.95
17088	Belalcázar	Caldas	9997	4858	5139	Partido de la U	4074				34			551	43		630	1960	564	146				146	MAIS	18		2		9	1	3				3	Voto en blanco	32		1			2	6		1			2	1	1	1	1			1			1			2	2		2			8	4124	734	435	299	48.59	51.41	83.86	0	0	0	0.83	0	0	13.52	1.06	0	15.46	48.11	13.84	3.58	0	0	0	3.58	0.37	0	11.11	0	50	5.56	16.67	0	0	0	16.67	0.66	0	3.13	0	0	6.25	18.75	0	3.13	0	0	6.25	3.13	3.13	3.13	3.13	0	0	3.13	0	0	3.13	0	0	6.25	6.25	0	6.25	0	0	25	84.89	15.11	8.95	6.15
17174	Chinchiná	Caldas	41554	19559	21995	Partido Liberal	16109				252			2908	1127		2871	3313	4080	573				985	Voto en blanco	87	6	1	3	4	3	23	3	8	3	33	Voto en blanco	201	3	4		5	5	4	5	8		3	1	4	4	1	3	4	6	1		9	5	3	3	10	11	1	1	4	4	89	16397	3162	2263	899	47.07	52.93	82.36	0	0	0	1.56	0	0	18.05	7	0	17.82	20.57	25.33	3.56	0	0	0	6.11	0.44	6.9	1.15	3.45	4.6	3.45	26.44	3.45	9.2	3.45	37.93	1.03	1.49	1.99	0	2.49	2.49	1.99	2.49	3.98	0	1.49	0.5	1.99	1.99	0.5	1.49	1.99	2.99	0.5	0	4.48	2.49	1.49	1.49	4.98	5.47	0.5	0.5	1.99	1.99	44.28	83.83	16.17	11.57	4.6
17272	Filadelfia	Caldas	9551	5176	4375	Partido Liberal	4492				34			298	32		866	977	2047	113				125	Voto en blanco	27	3	1		2		8		2		11	Voto en blanco	37		1		1		2		1	2	1		1	3		4		1					1		4	2	1				12	4556	620	381	239	54.19	45.81	86.79	0	0	0	0.76	0	0	6.63	0.71	0	19.28	21.75	45.57	2.52	0	0	0	2.78	0.52	11.11	3.7	0	7.41	0	29.63	0	7.41	0	40.74	0.71	0	2.7	0	2.7	0	5.41	0	2.7	5.41	2.7	0	2.7	8.11	0	10.81	0	2.7	0	0	0	0	2.7	0	10.81	5.41	2.7	0	0	0	32.43	88.02	11.98	7.36	4.62
17380	La Dorada	Caldas	56266	24375	31891	Partido Liberal	20067				161			4061	1182		471	4821	7593	590				1188	Voto en blanco	60	5	1	1	7	2	12		6	1	25	Voto en blanco	136	1	3	2	4	1	11	2	13	2	2	1		4	5	7	1	1	2	1		2	4		4	2	2	4	3	1	51	20263	4112	3144	968	43.32	56.68	82.33	0	0	0	0.8	0	0	20.24	5.89	0	2.35	24.02	37.84	2.94	0	0	0	5.92	0.25	8.33	1.67	1.67	11.67	3.33	20	0	10	1.67	41.67	0.56	0.74	2.21	1.47	2.94	0.74	8.09	1.47	9.56	1.47	1.47	0.74	0	2.94	3.68	5.15	0.74	0.74	1.47	0.74	0	1.47	2.94	0	2.94	1.47	1.47	2.94	2.21	0.74	37.5	83.13	16.87	12.9	3.97
17388	La Merced	Caldas	5622	3142	2480	Partido Conservador	2800				15			154	46		1229	923	340	59				34	MAIS	4				2		1				1	Voto en blanco	10				1	2			1							1												1		1	3	2814	328	217	111	55.89	44.11	89.12	0	0	0	0.54	0	0	5.5	1.64	0	43.89	32.96	12.14	2.11	0	0	0	1.21	0.13	0	0	0	50	0	25	0	0	0	25	0.32	0	0	0	10	20	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	10	30	89.56	10.44	6.91	3.53
17433	Manzanares	Caldas	15228	6986	8242	Partido de la U	5949				52			1093	148		1850	1920	605	84				197	Voto en blanco	30	2	1	2	2	1	4	2	1		15	Voto en blanco	63		3	2	3	2	4	1	2			3	1	5	3	3	1	2	1	1	1			1	2	1		3		1	17	6042	944	545	399	45.88	54.12	85.16	0	0	0	0.87	0	0	18.37	2.49	0	31.1	32.27	10.17	1.41	0	0	0	3.31	0.43	6.67	3.33	6.67	6.67	3.33	13.33	6.67	3.33	0	50	0.9	0	4.76	3.17	4.76	3.17	6.35	1.59	3.17	0	0	4.76	1.59	7.94	4.76	4.76	1.59	3.17	1.59	1.59	1.59	0	0	1.59	3.17	1.59	0	4.76	0	1.59	26.98	86.49	13.51	7.8	5.71
17442	Marmato	Caldas	6037	2663	3374	Partido Liberal	2191				27			112	18		100	658	666	535				75	MUIPC	29	3	1		4	1	17	1			2	Voto en blanco	22		1	1	1	1	1		2	1	2		1			1		1							1			1	1		6	2242	421	278	143	44.11	55.89	82.28	0	0	0	1.23	0	0	5.11	0.82	0	4.56	30.03	30.4	24.42	0	0	0	3.42	1.09	10.34	3.45	0	13.79	3.45	58.62	3.45	0	0	6.9	0.83	0	4.55	4.55	4.55	4.55	4.55	0	9.09	4.55	9.09	0	4.55	0	0	4.55	0	4.55	0	0	0	0	0	0	4.55	0	0	4.55	4.55	0	27.27	84.19	15.81	10.44	5.37
17444	Marquetalia	Caldas	11222	5538	5684	Centro Democrático	4806				51			2772	37		813	770	231	57				75	MUIPC	12	2			2		3	2	1	1	1	Voto en blanco	33				3	2	1		1		1	1		1	3	2			1	1		3	2			1		1	1		8	4851	687	342	345	49.35	50.65	86.78	0	0	0	1.06	0	0	57.68	0.77	0	16.92	16.02	4.81	1.19	0	0	0	1.56	0.22	16.67	0	0	16.67	0	25	16.67	8.33	8.33	8.33	0.6	0	0	0	9.09	6.06	3.03	0	3.03	0	3.03	3.03	0	3.03	9.09	6.06	0	0	3.03	3.03	0	9.09	6.06	0	0	3.03	0	3.03	3.03	0	24.24	87.59	12.41	6.18	6.23
17446	Marulanda	Caldas	2710	1299	1411	Partido Conservador	1154				6			231	11		649	199	25	10				23	MUIPC	1						1				0	Voto en blanco	3				1																										2	1158	141	75	66	47.93	52.07	88.84	0	0	0	0.52	0	0	20.02	0.95	0	56.24	17.24	2.17	0.87	0	0	0	1.99	0.08	0	0	0	0	0	100	0	0	0	0	0.23	0	0	0	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.67	89.15	10.85	5.77	5.08
17486	Neira	Caldas	18748	9268	9480	Partido de la U	7748				68			658	231		1193	3467	1549	190				392	Empate	43	2		1	5	2	15		1	2	15	Voto en blanco	80	1			4	1	1	1	3	6	1	3	2	2		1	1	2	1	1	2			1		2	1	3	2	1	37	7871	1397	959	438	49.43	50.57	83.6	0	0	0	0.88	0	0	8.49	2.98	0	15.4	44.75	19.99	2.45	0	0	0	5.06	0.46	4.65	0	2.33	11.63	4.65	34.88	0	2.33	4.65	34.88	0.86	1.25	0	0	5	1.25	1.25	1.25	3.75	7.5	1.25	3.75	2.5	2.5	0	1.25	1.25	2.5	1.25	1.25	2.5	0	0	1.25	0	2.5	1.25	3.75	2.5	1.25	46.25	84.93	15.07	10.35	4.73
17495	Norcasia	Caldas	5551	3106	2445	Partido de la U	2753				14			128	39		129	1203	1176	27				37	Voto en blanco	6	1			1						4	CORPOSINPAC	8		1		1							2			1	1					1										1	2767	339	216	123	55.95	44.05	88.63	0	0	0	0.51	0	0	4.65	1.42	0	4.69	43.7	42.72	0.98	0	0	0	1.34	0.19	16.67	0	0	16.67	0	0	0	0	0	66.67	0.26	0	12.5	0	12.5	0	0	0	0	0	0	25	0	0	12.5	12.5	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	12.5	89.09	10.91	6.95	3.96
17513	Pácora	Caldas	11955	6389	5566	Partido Liberal	5393				32			591	251		550	865	2892	43				169	Voto en blanco	11			3		1	1				6	Voto en blanco	37			1	1	3			1			1				5	2	2			1		1		2	2			1		14	5441	948	630	318	53.44	46.56	84.41	0	0	0	0.59	0	0	10.96	4.65	0	10.2	16.04	53.63	0.8	0	0	0	3.13	0.17	0	0	27.27	0	9.09	9.09	0	0	0	54.55	0.58	0	0	2.7	2.7	8.11	0	0	2.7	0	0	2.7	0	0	0	13.51	5.41	5.41	0	0	2.7	0	2.7	0	5.41	5.41	0	0	2.7	0	37.84	85.16	14.84	9.86	4.98
17524	Palestina	Caldas	15067	7194	7873	Partido de la U	6132				51			773	203		636	2808	1377	89				195	MUIPC	45	1			2	1	25		1		15	Voto en blanco	59	1			3		1					1		1		2	1	5	1		1	2	1		1	2		1	2		33	6236	958	636	322	47.75	52.25	85.24	0	0	0	0.83	0	0	12.61	3.31	0	10.37	45.79	22.46	1.45	0	0	0	3.18	0.63	2.22	0	0	4.44	2.22	55.56	0	2.22	0	33.33	0.82	1.69	0	0	5.08	0	1.69	0	0	0	0	1.69	0	1.69	0	3.39	1.69	8.47	1.69	0	1.69	3.39	1.69	0	1.69	3.39	0	1.69	3.39	0	55.93	86.68	13.32	8.84	4.48
17541	Pensilvania	Caldas	16955	8702	8253	Centro Democrático	7329				61			2857	60		1480	2114	413	121				223	MUIPC	34	1	3	1		1	17	1	1		9	Voto en blanco	47				1	1	2	2	2	1	1		2	3	2		1	1	1		1	2	5		3	2			4		10	7410	1292	711	581	51.32	48.68	84.22	0	0	0	0.83	0	0	38.98	0.82	0	20.19	28.84	5.64	1.65	0	0	0	3.04	0.39	2.94	8.82	2.94	0	2.94	50	2.94	2.94	0	26.47	0.54	0	0	0	2.13	2.13	4.26	4.26	4.26	2.13	2.13	0	4.26	6.38	4.26	0	2.13	2.13	2.13	0	2.13	4.26	10.64	0	6.38	4.26	0	0	8.51	0	21.28	85.15	14.85	8.17	6.68
17614	Riosucio	Caldas	36562	19634	16928	Partido de la U	12075				124			2860	242		1324	3461	3075	313				676	MUIPC	4244	64	3	12	404	30	3659	4	18	1	49	Voto en blanco	182		1	2	7	1	2	10	10	9	3	4	1	15		8	2	1	1		8	1	3	2	8	6	3	2	4	1	67	16501	3133	2195	938	53.7	46.3	61.5	0	0	0	1.03	0	0	23.69	2	0	10.96	28.66	25.47	2.59	0	0	0	5.6	21.62	1.51	0.07	0.28	9.52	0.71	86.22	0.09	0.42	0.02	1.15	0.93	0	0.55	1.1	3.85	0.55	1.1	5.49	5.49	4.95	1.65	2.2	0.55	8.24	0	4.4	1.1	0.55	0.55	0	4.4	0.55	1.65	1.1	4.4	3.3	1.65	1.1	2.2	0.55	36.81	84.04	15.96	11.18	4.78
17616	Risaralda	Caldas	10668	5145	5523	Partido de la U	4385				19			624	267		486	1496	1121	220				152	MUIPC	27			1	5		17			1	3	Los Palenkes Bellavista	31			1	3	1	1					1			1				1		1	2	11			1			1		6	4443	702	421	281	48.23	51.77	85.23	0	0	0	0.43	0	0	14.23	6.09	0	11.08	34.12	25.56	5.02	0	0	0	3.47	0.52	0	0	3.7	18.52	0	62.96	0	0	3.7	11.11	0.6	0	0	3.23	9.68	3.23	3.23	0	0	0	0	3.23	0	0	3.23	0	0	0	3.23	0	3.23	6.45	35.48	0	0	3.23	0	0	3.23	0	19.35	86.36	13.64	8.18	5.46
17653	Salamina	Caldas	15429	7257	8172	Partido Conservador	6275				46			1176	117		2062	1031	1448	154				241	MUIPC	33	4	1		3		17	1		1	6	Voto en blanco	42		2		3	2			3	2	2	1	1	1		2							2		5			1	1		14	6350	907	583	324	47.03	52.97	86.47	0	0	0	0.73	0	0	18.74	1.86	0	32.86	16.43	23.08	2.45	0	0	0	3.84	0.45	12.12	3.03	0	9.09	0	51.52	3.03	0	3.03	18.18	0.58	0	4.76	0	7.14	4.76	0	0	7.14	4.76	4.76	2.38	2.38	2.38	0	4.76	0	0	0	0	0	0	4.76	0	11.9	0	0	2.38	2.38	0	33.33	87.5	12.5	8.03	4.46
17662	Samaná	Caldas	16108	8930	7178	Partido de la U	7721				61			934	34		750	5547	157	58				180	Voto en blanco	25			5			3	1	3		13	Voto en blanco	31	1			2	1	1		2		2	1		2		2		1		1	1		1		4	1	1		1		6	7777	1153	811	342	55.44	44.56	86.46	0	0	0	0.79	0	0	12.1	0.44	0	9.71	71.84	2.03	0.75	0	0	0	2.33	0.28	0	0	20	0	0	12	4	12	0	52	0.35	3.23	0	0	6.45	3.23	3.23	0	6.45	0	6.45	3.23	0	6.45	0	6.45	0	3.23	0	3.23	3.23	0	3.23	0	12.9	3.23	3.23	0	3.23	0	19.35	87.09	12.91	9.08	3.83
17665	San José	Caldas	4790	2567	2223	Partido Conservador	2250				13			333	25		1219	238	300	48				74	MUIPC	24		1	1	5		14				3	Voto en blanco	8								2			1		1					1												3	2282	285	193	92	53.59	46.41	87.65	0	0	0	0.58	0	0	14.8	1.11	0	54.18	10.58	13.33	2.13	0	0	0	3.29	0.93	0	4.17	4.17	20.83	0	58.33	0	0	0	12.5	0.31	0	0	0	0	0	0	0	25	0	0	12.5	0	12.5	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	37.5	88.9	11.1	7.52	3.58
17777	Supía	Caldas	20457	10514	9943	Partido Liberal	7231				94			1674	243		1221	636	2663	298				402	MUIPC	960	29	2	1	58	24	796	1	17	1	31	Voto en blanco	112		3	4	2		1	6	13	2	1	2	1	8	2	5	1	1	5	2	4	3	3		11		1	3	3	1	24	8303	2211	1576	635	51.4	48.6	68.77	0	0	0	1.3	0	0	23.15	3.36	0	16.89	8.8	36.83	4.12	0	0	0	5.56	9.13	3.02	0.21	0.1	6.04	2.5	82.92	0.1	1.77	0.1	3.23	1.07	0	2.68	3.57	1.79	0	0.89	5.36	11.61	1.79	0.89	1.79	0.89	7.14	1.79	4.46	0.89	0.89	4.46	1.79	3.57	2.68	2.68	0	9.82	0	0.89	2.68	2.68	0.89	21.43	78.97	21.03	14.99	6.04
17867	Victoria	Caldas	8310	4138	4172	Partido de la U	3683				29			689	26		268	1882	627	59				103	Voto en blanco	6	1			1	1	1				2	Voto en blanco	11	2		1				1		1			1	1														1			3	3700	438	287	151	49.8	50.2	89	0	0	0	0.79	0	0	18.71	0.71	0	7.28	51.1	17.02	1.6	0	0	0	2.8	0.14	16.67	0	0	16.67	16.67	16.67	0	0	0	33.33	0.27	18.18	0	9.09	0	0	0	9.09	0	9.09	0	0	9.09	9.09	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09	0	0	27.27	89.42	10.58	6.94	3.65
17873	Villamaría	Caldas	36258	18537	17721	Partido Liberal	15242				342			1979	1348		2520	3648	3707	476				1222	Voto en blanco	87	7		2	8	6	22		7	1	34	Voto en blanco	178			2	4	5	5	4	7	1	2	5	2	2		5	1	4		2	15	2		3	2	3	3	2	6	2	89	15507	3030	2376	654	51.13	48.87	82.22	0	0	0	2.24	0	0	12.98	8.84	0	16.53	23.93	24.32	3.12	0	0	0	8.02	0.47	8.05	0	2.3	9.2	6.9	25.29	0	8.05	1.15	39.08	0.96	0	0	1.12	2.25	2.81	2.81	2.25	3.93	0.56	1.12	2.81	1.12	1.12	0	2.81	0.56	2.25	0	1.12	8.43	1.12	0	1.69	1.12	1.69	1.69	1.12	3.37	1.12	50	83.65	16.35	12.82	3.53
17877	Viterbo	Caldas	12505	6065	6440	Centro Democrático	5222				52			1579	152		1413	1541	165	107				213	MUIPC	16		1		2	1	6		1		5	Voto en blanco	38		1			2	1	1	1	1	3	3	1	3	3	1		1	1							2	1	3			9	5276	789	546	243	48.5	51.5	86.1	0	0	0	1	0	0	30.24	2.91	0	27.06	29.51	3.16	2.05	0	0	0	4.08	0.26	0	6.25	0	12.5	6.25	37.5	0	6.25	0	31.25	0.63	0	2.63	0	0	5.26	2.63	2.63	2.63	2.63	7.89	7.89	2.63	7.89	7.89	2.63	0	2.63	2.63	0	0	0	0	0	0	5.26	2.63	7.89	0	0	23.68	86.99	13.01	9	4.01
18001	Florencia	Caquetá	107696	50174	57522	Partido Liberal	42654				1634		3467		6560		9391	6134	11336				674	3458	Voto en blanco	123	14		3	8	2	16	2	5	2	71	Voto en blanco	330	1	1	2	8	5	11	4	5		6	1	5	6	7	5	1		1	2	7	2	4	1	8	29	5	5	8	1	189	43107	7067	5354	1713	46.59	53.41	85.01	0	0	0	3.83	0	8.13	0	15.38	0	22.02	14.38	26.58	0	0	0	1.58	8.11	0.25	11.38	0	2.44	6.5	1.63	13.01	1.63	4.07	1.63	57.72	0.66	0.3	0.3	0.61	2.42	1.52	3.33	1.21	1.52	0	1.82	0.3	1.52	1.82	2.12	1.52	0.3	0	0.3	0.61	2.12	0.61	1.21	0.3	2.42	8.79	1.52	1.52	2.42	0.3	57.27	85.92	14.08	10.67	3.41
18029	Albania	Caquetá	3707	1796	1911	Partido de la U	1619				82		111		280		277	551	253				15	50	MUIPC	4						3				1	Voto en blanco	11						2						1	2																	6	1634	162	110	52	48.45	51.55	90.14	0	0	0	5.06	0	6.86	0	17.29	0	17.11	34.03	15.63	0	0	0	0.93	3.09	0.22	0	0	0	0	0	75	0	0	0	25	0.61	0	0	0	0	0	18.18	0	0	0	0	0	9.09	18.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.55	90.98	9.02	6.12	2.9
18094	Belén de Los Andaquies	Caquetá	7213	3041	4172	Partido Conservador	2512				288		137		470		558	387	474				28	170	Voto en blanco	12		3	2			2				5	Voto en blanco	55	1			1	1	2	2		1				1		1		1				2	2	1	1	16	1		2		19	2579	462	253	209	42.16	57.84	82.6	0	0	0	11.46	0	5.45	0	18.71	0	22.21	15.41	18.87	0	0	0	1.11	6.77	0.39	0	25	16.67	0	0	16.67	0	0	0	41.67	1.81	1.82	0	0	1.82	1.82	3.64	3.64	0	1.82	0	0	0	1.82	0	1.82	0	1.82	0	0	0	3.64	3.64	1.82	1.82	29.09	1.82	0	3.64	0	34.55	84.81	15.19	8.32	6.87
18150	Cartagena del Chairá	Caquetá	16621	3428	13193	Partido Conservador	2726				124		335		251		913	251	371				308	173	Voto en blanco	14		2	1		1	1		2		7	Voto en blanco	36			1			1		3		1	2	2	3			1	1	1				2		1		1	4			12	2776	652	457	195	20.62	79.38	79.52	0	0	0	4.55	0	12.29	0	9.21	0	33.49	9.21	13.61	0	0	0	11.3	6.35	0.41	0	14.29	7.14	0	7.14	7.14	0	14.29	0	50	1.05	0	0	2.78	0	0	2.78	0	8.33	0	2.78	5.56	5.56	8.33	0	0	2.78	2.78	2.78	0	0	0	5.56	0	2.78	0	2.78	11.11	0	0	33.33	80.98	19.02	13.33	5.69
18205	Curillo	Caquetá	7251	2193	5058	Partido de la U	1962				49		245		283		469	553	271				18	74	Voto en blanco	4						1				3	Voto en blanco	18								3		1				1	1							1						1		10	1984	209	141	68	30.24	69.76	89.47	0	0	0	2.5	0	12.49	0	14.42	0	23.9	28.19	13.81	0	0	0	0.92	3.77	0.18	0	0	0	0	0	25	0	0	0	75	0.82	0	0	0	0	0	0	0	16.67	0	5.56	0	0	0	5.56	5.56	0	0	0	0	0	0	5.56	0	0	0	0	0	5.56	0	55.56	90.47	9.53	6.43	3.1
18247	El Doncello	Caquetá	15540	5646	9894	Partido Liberal	4867				97		366		1403		550	653	1484				67	247	Voto en blanco	13				1	2	1	1			8	Voto en blanco	27						3	1	2			2	1	1			2		2			1	1			2	1		1		7	4907	739	503	236	36.33	63.67	86.2	0	0	0	1.99	0	7.52	0	28.83	0	11.3	13.42	30.49	0	0	0	1.38	5.07	0.23	0	0	0	7.69	15.38	7.69	7.69	0	0	61.54	0.48	0	0	0	0	0	11.11	3.7	7.41	0	0	7.41	3.7	3.7	0	0	7.41	0	7.41	0	0	3.7	3.7	0	0	7.41	3.7	0	3.7	0	25.93	86.91	13.09	8.91	4.18
18256	El Paujil	Caquetá	11459	3479	7980	MIRA	3044				44		100		1114		189	760	610				90	137	Voto en blanco	10	3		1	1	1					4	Voto en blanco	21				2			1		2							1									1	2				12	3075	404	273	131	30.36	69.64	87.5	0	0	0	1.45	0	3.29	0	36.6	0	6.21	24.97	20.04	0	0	0	2.96	4.5	0.29	30	0	10	10	10	0	0	0	0	40	0.6	0	0	0	9.52	0	0	4.76	0	9.52	0	0	0	0	0	0	4.76	0	0	0	0	0	0	0	0	4.76	9.52	0	0	0	57.14	88.39	11.61	7.85	3.77
18410	La Montañita	Caquetá	9605	3169	6436	Partido Liberal	2842				50		137		473		594	274	760				484	70	Voto en blanco	6				1				2		3	Empate	12				2	1			1			1										1			1	1		1		1	2	2860	309	233	76	32.99	67.01	89.68	0	0	0	1.76	0	4.82	0	16.64	0	20.9	9.64	26.74	0	0	0	17.03	2.46	0.19	0	0	0	16.67	0	0	0	33.33	0	50	0.38	0	0	0	16.67	8.33	0	0	8.33	0	0	8.33	0	0	0	0	0	0	0	0	0	8.33	0	0	8.33	8.33	0	8.33	0	8.33	16.67	90.25	9.75	7.35	2.4
18460	Milán	Caquetá	6547	1876	4671	Partido Liberal	1654				43		135		259		327	208	627				16	39	MAIS	17				13					1	3	Empate	4							1		1									1												1	1675	201	158	43	28.65	71.35	88.17	0	0	0	2.6	0	8.16	0	15.66	0	19.77	12.58	37.91	0	0	0	0.97	2.36	0.91	0	0	0	76.47	0	0	0	0	5.88	17.65	0.21	0	0	0	0	0	0	25	0	25	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	25	89.29	10.71	8.42	2.29
18479	Morelia	Caquetá	3231	1554	1677	Partido Liberal	1381				42		147		306		316	164	347				15	44	Voto en blanco	4	1					1				2	MACOAS	9		1			1		1							1									2	1	1				1	0	1394	160	114	46	48.1	51.9	88.87	0	0	0	3.04	0	10.64	0	22.16	0	22.88	11.88	25.13	0	0	0	1.09	3.19	0.26	25	0	0	0	0	25	0	0	0	50	0.58	0	11.11	0	0	11.11	0	11.11	0	0	0	0	0	0	11.11	0	0	0	0	0	0	0	0	22.22	11.11	11.11	0	0	0	11.11	0	89.7	10.3	7.34	2.96
18592	Puerto Rico	Caquetá	17771	5339	12432	Partido Liberal	4374				159		163		996		638	541	1386				121	370	MAIS	25	1			11		4	2			7	Voto en blanco	55	1			1		1	1		1	1	5		1	2	2		2							2	7	1	1	1		25	4454	885	542	343	30.04	69.96	81.93	0	0	0	3.64	0	3.73	0	22.77	0	14.59	12.37	31.69	0	0	0	2.77	8.46	0.47	4	0	0	44	0	16	8	0	0	28	1.03	1.82	0	0	1.82	0	1.82	1.82	0	1.82	1.82	9.09	0	1.82	3.64	3.64	0	3.64	0	0	0	0	0	0	3.64	12.73	1.82	1.82	1.82	0	45.45	83.42	16.58	10.15	6.42
18610	San José del Fragua	Caquetá	8630	3648	4982	MIRA	3174				110		175		1070		569	550	381				192	127	Voto en blanco	9			1	1		3				4	Voto en blanco	23					1	5		1	1					1	1					1			1		2					9	3206	442	320	122	42.27	57.73	87.01	0	0	0	3.47	0	5.51	0	33.71	0	17.93	17.33	12	0	0	0	6.05	4	0.25	0	0	11.11	11.11	0	33.33	0	0	0	44.44	0.63	0	0	0	0	4.35	21.74	0	4.35	4.35	0	0	0	0	4.35	4.35	0	0	0	0	4.35	0	0	4.35	0	8.7	0	0	0	0	39.13	87.88	12.12	8.77	3.34
18753	San Vicente del Caguán	Caquetá	28579	7314	21265	Partido Liberal	6101				202		919		790		755	1188	1362				376	509	Voto en blanco	26	2		1	1		5		1	2	14	Voto en blanco	54	2			1	2		1	2	1	1	2	2			1		4					1	1	2	4	1				26	6181	1133	765	368	25.59	74.41	83.42	0	0	0	3.31	0	15.06	0	12.95	0	12.38	19.47	22.32	0	0	0	6.16	8.34	0.36	7.69	0	3.85	3.85	0	19.23	0	3.85	7.69	53.85	0.74	3.7	0	0	1.85	3.7	0	1.85	3.7	1.85	1.85	3.7	3.7	0	0	1.85	0	7.41	0	0	0	0	1.85	1.85	3.7	7.41	1.85	0	0	0	48.15	84.51	15.49	10.46	5.03
